Flipped journal;control journal;discipline
Cellular Physiology and Biochemistry;REPRODUCTION;MEDI
Central European Journal of Immunology;Intensiv- und Notfallbehandlung;MEDI
Central European Journal of Immunology;Journal of The American Society of Brewing Chemists;IMMU
Chemical and Biochemical Engineering Quarterly;ARCHIVES ITALIENNES DE BIOLOGIE;BIOC
Chemical and Biochemical Engineering Quarterly;Particle and Particle Systems Characterization;CENG
Chemical and Biochemical Engineering Quarterly;Particle and Particle Systems Characterization;CHEM
Chinese Journal of Aeronautics;Appropriate Technology;ENGI
Chinese Journal of Lung Cancer;Managed Care;MEDI
Chinese Journal of Lung Cancer;Molecular biology;BIOC
Chinese Journal of Traumatology;STRENGTH AND CONDITIONING JOURNAL;MEDI
Ciencia del Suelo ;Journal of the Lepidopterists' Society;AGRI
Ciencias Marinas;ACTA THERIOLOGICA;AGRI
Clinical Proteomics;Cellular and Molecular Biology;BIOC
Clinical Proteomics;TOPICS IN Language Disorders;MEDI
College and Research Libraries;Ethics and International Affairs;SOCI
Computational Linguistics;Cognition, Technology and Work;COMP
Computational Linguistics;Journal Of The American Academy Of Religion;ARTS
Computational Linguistics;Social Politics;SOCI
Croatian Medical Journal;Journal Of Craniofacial Surgery;MEDI
Current Therapeutic Research;Genetic Counseling;MEDI
Current Therapeutic Research;Psychopharmakotherapie;PHAR
Czech Journal of Animal Science;lab Animal;AGRI
DIE ERDE: Journal of the Geographical Society of Berlin;Chemical Engineering;ENVI
DIE ERDE: Journal of the Geographical Society of Berlin;Geotechnik;EART
DIE ERDE: Journal of the Geographical Society of Berlin;High Temperature Material Processes;ENER
DIE ERDE: Journal of the Geographical Society of Berlin;Year's Work In Critical And Cultural Theory;SOCI
Darwiniana;Journal of the Lepidopterists' Society;AGRI
De Zeventiende Eeuw: Cultuur in de Nederlanden in Interdisciplinair Perspectief;Disaster Prevention and Management;SOCI
De Zeventiende Eeuw: Cultuur in de Nederlanden in Interdisciplinair Perspectief;Studia Celtica;ARTS
Demonstratio Mathematica;Theory of Probability and its Applications;MATH
Diasporas: Circulations, Migrations, Histoire;Acta Antiqua Academiae Scientiarum Hungaricae;ARTS
Diasporas: Circulations, Migrations, Histoire;Acta Antiqua Academiae Scientiarum Hungaricae;SOCI
Disputatio;Journal Of The History Of Collections;ARTS
Documents d'An…lisi Geogr…fica;Geotechnik;EART
Documents d'An…lisi Geogr…fica;Journal of Pacific History;SOCI
Dru?tvena Istra?ivanja ;Review Of English Studies;SOCI
EJC Supplements;Journal of The American Society of Brewing Chemists;BIOC
EJC Supplements;Undersea and Hyperbaric Medicine;MEDI
ENVIRONMENTAL HEALTH PERSPECTIVES;International Journal of STD and AIDS;ENVI
ENVIRONMENTAL HEALTH PERSPECTIVES;MEDICAL CARE;MEDI
Economic Analysis and Policy;European Journal of the History of Economic Thought;ECON
Egyptian Journal of Anaesthesia;Verdauungskrankheiten;MEDI
El Trimestre Econ¢mico;European Journal of the History of Economic Thought;ECON
Emerita, Revista de linguistica y filologia clasica;Konsthistorisk Tidskrift;ARTS
Emerita, Revista de linguistica y filologia clasica;Psychology and Education;SOCI
Environmental Health and Preventive Medicine;Journal of the Lepidopterists' Society;ENVI
Environmental Health and Preventive Medicine;Psychiatrie;MEDI
Espace populations soci‚t‚s;Historical Journal Of Film, Radio and Television;SOCI
Estudios Geograficos;Observatory;EART
Estudios Geograficos;Savings and Development;SOCI
Estudios Geologicos;Geotechnik;EART
Estudios Geologicos;JOURNAL OF TROPICAL FOREST SCIENCE;AGRI
European Journal of Histochemistry ;ACTA THERIOLOGICA;AGRI
European Journal of Histochemistry ;ADVANCES IN NURSING SCIENCE;MEDI
European Journal of Histochemistry ;OMICS A Journal of Integrative Biology;BIOC
European Journal of Medical Research;International Journal of Health Planning and Management;MEDI
European Spatial Research and Policy;Debatte;SOCI
European journal of medical research;International Journal of Health Planning and Management;MEDI
Evolutionary Applications;JOURNAL OF IMMUNOTHERAPY;BIOC
Evolutionary Applications;Progress In Oceanography;AGRI
Farmacia Hospitalaria;Pharmazie in Unserer Zeit;PHAR
Farmacia Hospitalaria;Psychology and Health;MEDI
Filozofski Vestnik;British Journal of Aesthetics;ARTS
Folia Histochemica et Cytobiologica;Journal of Primary Prevention;MEDI
Folia Neuropathologica;Canadian Journal of Behavioural Science;NEUR
Folia Neuropathologica;Journal of Primary Prevention;MEDI
Gazi Medical Journal;Journal of the Bahrain Medical Society;MEDI
Genetics Selection Evolution;JOURNAL OF LOWER GENITAL TRACT DISEASE;MEDI
Genetics Selection Evolution;Mammalian Biology;AGRI
Genetics Selection Evolution;Oncology Research;BIOC
Genetika;Advances In Experimental Medicine And Biology;BIOC
Genetika;Indian Journal of Pediatrics;MEDI
Genetika;Journal Of Inclusion Phenomena;AGRI
Geochemical Transactions;Spatial Cognition and Computation;EART
Geodetski Vestnik;Forum For Modern Language Studies;SOCI
Geodetski Vestnik;Fossils;EART
Geologica Carpathica;Chemie der Erde;EART
Geological Survey of Denmark and Greenland Bulletin;Observatory;EART
Ginekologia Polska;Applied Radiology;MEDI
Gold Bulletin;Journal of Elastomers and Plastics;MATE
Gold Bulletin;Structure And Bonding;CHEM
Grasas y Aceites;ACTA THERIOLOGICA;AGRI
Grasas y Aceites;High Temperature Material Processes;CHEM
Greek, Roman and Byzantine Studies;Gender and History;ARTS
Greek, Roman and Byzantine Studies;Norsk Geografisk Tidsskrift;SOCI
Green Chemistry Letters and Reviews;Hyle;CHEM
Green Chemistry Letters and Reviews;Journal Of Environmental Law;ENVI
Helminthologia;ACTA THERIOLOGICA;AGRI
Helminthologia;Journal of The American Society of Brewing Chemists;IMMU
Hereditary Cancer in Clinical Practice;Journal of Pacific History;MEDI
Hereditary Cancer in Clinical Practice;Laboratory Hematology;BIOC
Hereditas;Laboratory Hematology;BIOC
Hereditas;TOPICS IN Language Disorders;MEDI
Human genomics;American Journal of Plant Physiology;BIOC
Human genomics;Journal of Sex and Marital Therapy;MEDI
Human genomics;Neuropsychopharmacologia Hungarica;PHAR
Hungarian Geographical Bulletin;Fossils;EART
Hungarian Geographical Bulletin;Journal of the Southwest;SOCI
IETE Journal of Research;International Journal of Simulation: Systems, Science and Technology;COMP
IETE Journal of Research;International Journal of Simulation: Systems, Science and Technology;MATH
IETE Journal of Research;Welding and Cutting;ENGI
IETE Technical Review (Institution of Electronics and Telecommunication Engineers, India);High Temperature Material Processes;ENGI
Identities;British Journal of Aesthetics;ARTS
Identities;Evaluation and the Health Professions;SOCI
Indian Heart Journal;lab Animal;MEDI
Indian Journal of Agricultural Sciences;lab Animal;AGRI
Indian Journal of Animal Sciences;Archives of Phytopathology and Plant Protection;AGRI
Indian Journal of Animal Sciences;lab Animal;VETE
Indian Journal of Biochemistry and Biophysics;STRENGTH AND CONDITIONING JOURNAL;MEDI
Indian Journal of Biochemistry and Biophysics;lab Animal;BIOC
Indian Journal of Dental Research;European Journal Of Dental Education;DENT
Indian Journal of Dental Research;STRENGTH AND CONDITIONING JOURNAL;MEDI
Indian Journal of Fibre & Textile Research;Chemical Engineering;ENVI
Indian Journal of Fibre & Textile Research;Combustion, Explosion and Shock Waves;CENG
Indian Journal of Fibre & Textile Research;Combustion, Explosion and Shock Waves;MATE
Indian Journal of Medical Research;ADVANCES IN EXPERIMENTAL MEDICINE AND BIOLOGY;BIOC
Indian Journal of Medical Research;Journal of Prosthetic Dentistry;MEDI
Indian Journal of Ophthalmology;Psychology and Health;MEDI
Indian Journal of Pathology and Microbiology;ONCOLOGIE;MEDI
Indian Journal of Public Health;Colombia Medica;MEDI
Indian Pacing and Electrophysiology Journal;European Science Editing;MEDI
Infectious diseases in obstetrics and gynecology;Oncology Research;MEDI
Information Technology and Libraries;Cognition, Technology and Work;COMP
Information Technology and Libraries;Journal Of Environmental Law;SOCI
Interamerican Journal of Psychology;Familiendynamik;PSYC
International Agrophysics;JOURNAL OF TROPICAL FOREST SCIENCE;AGRI
International Agrophysics;Journal of The American Society of Brewing Chemists;CENG
International Agrophysics;Ozone: Science and Engineering;ENVI
International Journal of Clinical and Health Psychology;Journal of Sex and Marital Therapy;PSYC
International Journal of Distributed Sensor Networks;Dynamic Systems and Applications;ENGI
International Journal of Distributed Sensor Networks;Production Planning and Control;COMP
International Journal of Mathematics and Mathematical Sciences;Differential equations;MATH
International Journal of Occupational Medicine and Environmental Health;ADVANCES IN NURSING SCIENCE;MEDI
International Journal of Platonic Tradition;Iranica Antiqua;ARTS
International Maritime Health;Annals of Fundeni Hospital;MEDI
International journal of qualitative studies on health and well-being;ARCHIVES ITALIENNES DE BIOLOGIE;MEDI
International journal of qualitative studies on health and well-being;Pediatric Nursing;NURS
Iranian Journal of Medical Sciences;Bulletin on Narcotics;MEDI
Irish Veterinary Journal;Journal of Camel Practice and Research;VETE
Italian Journal of Food Science;JOURNAL OF TROPICAL FOREST SCIENCE;AGRI
Italian Journal of Pediatrics;Research in the Sociology of Health Care;MEDI
Jornal Brasileiro de Psiquiatria;Psychopharmakotherapie;MEDI
Jornal de Pediatria;NURSE EDUCATOR;MEDI
Journal of Aeronautical Materials;Combustion, Explosion and Shock Waves;ENGI
Journal of Aeronautical Materials;Combustion, Explosion and Shock Waves;MATE
Journal of Apicultural Science;Journal Of Dietary Supplements;AGRI
Journal of Applied Mathematics;Ima Journal Of Mathematical Control And Information;MATH
Journal of Biomedical Science;Aging and Mental Health;BIOC
Journal of Biomedical Science;American Journal Of Therapeutics;MEDI
Journal of Cardiovascular Magnetic Resonance;CLINICAL OBSTETRICS AND GYNECOLOGY;MEDI
Journal of Cardiovascular Magnetic Resonance;Language, Speech, and Hearing Services in Schools;HEAL
Journal of Cellular and Molecular Medicine ;Molecular plant-microbe interactions;BIOC
Journal of Cellular and Molecular Medicine ;Molecular plant-microbe interactions;MEDI
Journal of Computer Science;International Journal of Medical Robotics and Computer Assisted Surgery;COMP
Journal of Curriculum Studies;Common Market Law Review;SOCI
Journal of Economic Perspectives;Economic History Review;ECON
Journal of Exercise Science & Fitness;Canadian Journal on Aging;NURS
Journal of Exercise Science & Fitness;Chemical Speciation and Bioavailability;PHAR
Journal of Exercise Science & Fitness;Journal of Southern History;MEDI
Journal of Exercise Science & Fitness;TOPICS IN Language Disorders;HEAL
Journal of Food and Drug Analysis;Coffee Science;AGRI
Journal of Food and Drug Analysis;Phytotherapie;PHAR
Journal of Headache and Pain;American Journal of Alzheimer's Disease and Other Dementias;NEUR
Journal of Headache and Pain;Current Opinion In Ophthalmology;MEDI
Journal of Hymenoptera Research;Israel Journal of Ecology and Evolution;AGRI
Journal of Indian Society of Pedodontics and Preventive Dentistry;Current Anaesthesia and Critical Care;MEDI
Journal of Indian Society of Pedodontics and Preventive Dentistry;Revue de Stomatologie et de Chirurgie Maxillo-faciale;DENT
Journal of Infrared and Millimeter Waves ;Combustion, Explosion and Shock Waves;PHYS
Journal of International Medical Research;Genetics and molecular Research;BIOC
Journal of International Medical Research;Genetics and molecular Research;MEDI
Journal of Korean Medical Science;CLINICAL NUCLEAR MEDICINE;MEDI
Journal of Korean medical science;CLINICAL NUCLEAR MEDICINE;MEDI
Journal of Materials Engineering;Combustion, Explosion and Shock Waves;CENG
Journal of Materials Engineering;Combustion, Explosion and Shock Waves;MATE
Journal of Materials Engineering;Russian Electrical Engineering;ENGI
Journal of Muslim Mental Health;Bach;ARTS
Journal of Muslim Mental Health;Legacy;SOCI
Journal of Muslim Mental Health;Psychoanalytic Social Work;PSYC
Journal of Muslim Mental Health;Trends in Medical Research;MEDI
Journal of Neuroscience;Critical care Medicine;MEDI
Journal of Neuroscience;International Journal of STD and AIDS;NEUR
Journal of Official Statistics;Nonlinear Dynamics, Psychology, and Life Sciences;MATH
Journal of Orthopaedics and Traumatology;Ideggy¢gy szati Szemle;MEDI
Journal of Otolaryngology - Head and Neck Surgery;Diabetes and Metabolic Syndrome: Clinical Research and Reviews;MEDI
Journal of Pharmacy & Pharmaceutical Sciences;Assay and Drug Development Technologies;PHAR
Journal of Pharmacy & Pharmaceutical Sciences;Sports Medicine and Arthroscopy review;MEDI
Journal of Physiological Anthropology;Cellular and Molecular Biology;BIOC
Journal of Physiological Anthropology;Cellular and Molecular Biology;MEDI
Journal of Physiological Anthropology;International Journal for the Semiotics of Law;SOCI
Journal of Research of the National Institute of Standards and Technology;Journal Of Environmental Law;MULT
Journal of Research of the National Institute of Standards and Technology;Science and Global Security;ENGI
Journal of Universal Computer Science;Industrial Robot;COMP
Journal of Universal Computer Science;Theory of Probability and its Applications;MATH
Journal of Vector Borne Diseases;Journal of The American Society of Brewing Chemists;IMMU
Journal of Vector Borne Diseases;Pediatric Nursing;MEDI
Journal of Veterinary Research;Animal Nutrition and Feed Technology;VETE
Journal of Veterinary Science;American Journal of Dermatopathology;MEDI
Journal of Veterinary Science;Comparative Medicine;VETE
Journal of biological dynamics;Health Care For Women International;MEDI
Journal of biological dynamics;JOURNAL OF TROPICAL FOREST SCIENCE;AGRI
Journal of biological dynamics;Ozone: Science and Engineering;ENVI
Journal of biomedical science;Aging and Mental Health;BIOC
Journal of biomedical science;American Journal Of Therapeutics;MEDI
Journal of cellular and molecular medicine;Molecular plant-microbe interactions;BIOC
Journal of cellular and molecular medicine;Molecular plant-microbe interactions;MEDI
Journal of the American Veterinary Medical Association;Journal Of Child Neurology;MEDI
Journal of the American Veterinary Medical Association;lab Animal;VETE
Journal of the California Dental Association;Journal of Pediatric Ophthalmology and Strabismus;MEDI
Journal of the California Dental Association;Revue de Stomatologie et de Chirurgie Maxillo-faciale;DENT
Journal of the Royal Society of Medicine;Journal of Pediatric Ophthalmology and Strabismus;MEDI
Kaohsiung Journal of Medical Sciences;Journal of the Pakistan Medical Association;MEDI
Kidney & Blood Pressure Research;Aging and Mental Health;BIOC
Kidney & Blood Pressure Research;International Journal of gynecological Pathology;MEDI
La Pediatria Medica e Chirurgica;Oxymag;MEDI
Lazaroa;Marine Fisheries Review;AGRI
Lingua;School Leadership and Management;ARTS
Lingua;Violence against Women;SOCI
M@ppemonde;Commentary;SOCI
M@ppemonde;Journal of the Lepidopterists' Society;EART
Materiales de Construccion;Fiber And Integrated Optics;MATE
Materiales de Construccion;Journal of Industrial Technology;ENGI
Mathematical Problems in Engineering;Ima Journal Of Mathematical Control And Information;ENGI
Mathematical Problems in Engineering;Systems Science;MATH
Mediators of inflammation;Comparative Medicine;BIOC
Mediators of inflammation;Journal of Pediatric Ophthalmology and Strabismus;MEDI
Mediators of inflammation;Voprosy Virusologii;IMMU
Medical Principles and Practice;American Journal Of Therapeutics;MEDI
Medicina (Buenos Aires);NURSE EDUCATOR;MEDI
Medicine;Muscle AND Nerve;MEDI
Medycyna Pracy;Notfall und Rettungsmedizin;MEDI
Med?iagotyra;Journal of Nonlinear Optical Physics and Materials;MATE
Meta;HERMES;ARTS
Meta;Wasserwirtschaft;SOCI
Metalurgija;Cellulose Chemistry and Technology;MATE
Metalurgija;Control Engineering;PHYS
Metalurgija;Space Technology;ENGI
Methods of information in medicine;CANCER NURSING;NURS
Methods of information in medicine;International Journal of gynecological Pathology;MEDI
Methods of information in medicine;TELEMEDICINE and e-HEALTH;HEAL
Microbial biotechnology;Combustion, Explosion and Shock Waves;CENG
Microbial biotechnology;JOURNAL OF IMMUNOTHERAPY;IMMU
Microbial biotechnology;OMICS A Journal of Integrative Biology;BIOC
Microbial biotechnology;OMICS A Journal of Integrative Biology;MEDI
Middle East Fertility Society Journal;Hematologie;MEDI
Missionalia: Southern African Journal of Missiology;Journal of the Midwest Modern Language Association;ARTS
Monaldi Archives for Chest Disease;Pediatric Nursing;MEDI
Moravian Geographical Reports;Family Matters;SOCI
Moravian Geographical Reports;Marine Georesources and Geotechnology;EART
Mountain Research and Development;Chemical Speciation and Bioavailability;ENVI
Mountain Research and Development;Gender and History;SOCI
Multidisciplinary Respiratory Medicine;plastic Surgical Nursing;MEDI
Nanoscale Research Letters;Journal of the Acoustical Society of America;PHYS
Nanoscale Research Letters;Polymer journal;MATE
Na?e More (Dubrovnik);ECOS;ENVI
Na?e More (Dubrovnik);Forum For Modern Language Studies;SOCI
Na?e More (Dubrovnik);High Temperature Material Processes;ENGI
Na?e More (Dubrovnik);Journal of The American Society of Brewing Chemists;CENG
Netherlands Journal of Medicine;Journal of AAPOS;MEDI
New Zealand Journal of Forestry Science;Chemical Engineering;CENG
New Zealand Journal of Forestry Science;Chemical Engineering;ENVI
New Zealand Journal of Forestry Science;Israel Journal of Ecology and Evolution;AGRI
Noise and Health;International Journal of Health Planning and Management;HEAL
Noise and Health;International Journal of Health Planning and Management;MEDI
Nuclear Engineering and Technology;Wind and Structures, An International Journal;ENER
Nucleic Acids Research;Critical care Medicine;MEDI
Nucleic Acids Research;Molecular plant-microbe interactions;BIOC
Nutrici¢n Hospitalaria;Journal of Cardiovascular Nursing;NURS
Nutrici¢n Hospitalaria;Psychology, Health and Medicine;MEDI
Nutrici¢n Hospitalaria;Southern Journal of Applied Forestry;AGRI
Oceanography;SOil Science;EART
Oceanologia;BOLETIN GEOLOGICO Y MINERO;EART
Oceanologia;Limnologica;AGRI
Oceanologia;Studies in Conflict and Terrorism;ENGI
Oncology Reviews;Indian Journal of Agricultural Biochemistry;BIOC
Oncology Reviews;Psychopharmakotherapie;MEDI
Onderstepoort Journal of Veterinary Research;Journal of Camel Practice and Research;VETE
Organon F;Literature And Theology;ARTS
Parasite;Central European journal of public health;MEDI
Parasite;JOURNAL OF TROPICAL FOREST SCIENCE;AGRI
Parasite;Journal of Camel Practice and Research;VETE
Parasite;Korean Journal of Microbiology and Biotechnology;IMMU
Petrology;Psychiatrie;EART
Pharmacia;Alcoholism;MEDI
Pharmacia;Australian Journal of Rehabilitation Counselling;HEAL
Pharmacia;Indian Journal of Agricultural Biochemistry;BIOC
Pharmacia;PharmacoEconomics - Italian Research Articles;PHAR
Philosophical Investigations;Journal Of Semitic Studies;ARTS
Polar Research;GEOARCHAEOLOGY;EART
Polar Research;Policy and Politics;ENVI
Polimery w Medycynie;Journal of Ecophysiology and Occupational Health;MEDI
Polish Journal of Pathology;International Journal of Health Planning and Management;HEAL
Polish Journal of Pathology;Journal of Southern History;MEDI
Polish Polar Research;Journal of International Wildlife Law and Policy;ENVI
Polish Polar Research;Marine Fisheries Review;AGRI
Pomorstvo;Process Engineering;ENGI
Pomorstvo;Psychology and Education;SOCI
Post?py Higieny i Medycyny Do?wiadczalnej;Occupational Therapy in Health Care;MEDI
Prague Medical Report;Pathologica;MEDI
Progress in Natural Science: Materials International;Galvanotechnik;MATE
Progress in Natural Science: Materials International;scientific american;MULT
Progress in Orthodontics;European Journal Of Dental Education;DENT
Progress in Orthodontics;European Science Editing;MEDI
Promet (Zagreb);International Journal of Performability Engineering;ENGI
Promet (Zagreb);NURSE EDUCATOR;SOCI
Przegl?d Dermatologiczny;Neuro-ophthalmology;MEDI
Psychologica Belgica;International Journal of Aviation Psychology;PSYC
Public Policy and Administration;Ethics and International Affairs;SOCI
Quaestiones Geographicae;Geotechnik;EART
Radiology and Oncology;Journal of Ecophysiology and Occupational Health;MEDI
Reumatismo;Alcoholism;MEDI
Revista Argentina de Dermatolog¡a;Savoirs et clinique;MEDI
Revista Argentina de Microbiolog¡a;Journal of The American Society of Brewing Chemists;IMMU
Revista Argentina de Microbiolog¡a;Occupational Therapy in Health Care;MEDI
Revista Brasileira de Anestesiologia;Journal of Communicable Diseases;MEDI
Revista Brasileira de Oftalmologia;Ideggy¢gy szati Szemle;MEDI
Revista Brasileira de Otorrinolaringologia;NURSING;MEDI
Revista Espanola de Enfermedades Digestivas;Journal of Pediatric Ophthalmology and Strabismus;MEDI
Revista Ga£cha de Enfermagem ;Acta chirurgica Iugoslavica;MEDI
Revista Portuguesa de Cardiologia;Heart Surgery Forum;MEDI
Revista de Dialectologia y Tradiciones Populares;Forum Italicum;SOCI
Revista de Dialectologia y Tradiciones Populares;Journal of the Midwest Modern Language Association;ARTS
Revista de Gastroenterolog¡a de M‚xico;Gulhane Medical Journal;MEDI
Revista de Indias;Journal of Rural Development;SOCI
Revista de Indias;Shenandoah;ARTS
Revista de Literatura;Journal Of The History Of Collections;ARTS
Revista de Metalurgia;High Temperature Material Processes;CHEM
Revista de Metalurgia;High Temperature Material Processes;MATE
Revista de Metalurgia;Lasers in Engineering;PHYS
Revista de Nefrolog¡a, Di lisis y Trasplante;Chinesische Medizin;MEDI
Revista de la Facultad de Ciencias M‚dicas de C¢rdoba;Research in the Sociology of Health Care;MEDI
Revue de G‚ographie Alpine;Journal Of Environmental Law;EART
Revue de G‚ographie Alpine;Journal of Pacific History;SOCI
Rheumatology;Aids Research and Human Retroviruses;IMMU
Rheumatology;Muscle AND Nerve;NEUR
Rheumatology;REPRODUCTION;MEDI
Rice;European Review Of Agricultural Economics;AGRI
